id,title,dateFirstPublished,file
abc-book,ABC Book,,fiction/childrens-literature/abc-book/ABC Book.md
anna-karenina,Anna Karenina,1875-01-01,fiction/novels/anna-karenina/Anna Karenina.md
confession,Confession,,non-fiction/personal-papers/confession/Confession.md
how-much-land-does-a-man-need,How Much Land Does a Man Need?,,fiction/short-stories/how-much-land-does-a-man-need/How Much Land Does a Man Need?.md
master-and-man,Master and Man,,fiction/novellas/master-and-man/Master and Man.md
sevastopol-sketches,Sevastopol Sketches,,fiction/sketches/sevastopol-sketches/Sevastopol Sketches.md
the-decembrists,The Decembrists,,unfinished/unfinished/the-decembrists/The Decembrists.md
the-fruits-of-enlightenment,The Fruits of Enlightenment,,plays/comedy/the-fruits-of-enlightenment/The Fruits of Enlightenment.md
the-kingdom-of-god-is-within-you,The Kingdom of God Is Within You,1894,non-fiction/treatises/the-kingdom-of-god-is-within-you/The Kingdom of God Is Within You.md
the-power-of-darkness,The Power of Darkness,,plays/drama/the-power-of-darkness/The Power of Darkness.md
the-school-at-yasnaya-polyana,The School at Yasnaya Polyana,,non-fiction/educational/the-school-at-yasnaya-polyana/The School at Yasnaya Polyana.md
volga-bogatyr,Volga-bogatyr,,poetry-and-songs/poetry-songs/volga-bogatyr/Volga-bogatyr.md
what-is-art,What Is Art?,,non-fiction/essays-and-criticism/what-is-art/What Is Art?.md
